OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
9.563: [GC (Allocation Failure) [PSYoungGen: 29649K->3041K(29696K)] 40783K->17769K(62464K), 0.0008712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.656: [GC (Allocation Failure) [PSYoungGen: 29650K->3041K(29696K)] 44377K->21779K(62464K), 0.0012632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.812: [GC (Allocation Failure) [PSYoungGen: 29637K->800K(29696K)] 48375K->19546K(62464K), 0.0005389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.906: [GC (Allocation Failure) [PSYoungGen: 27407K->1216K(29696K)] 46153K->19970K(62464K), 0.0008934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.002: [GC (Allocation Failure) [PSYoungGen: 27814K->3041K(29696K)] 46567K->22019K(62464K), 0.0010472 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.111: [GC (Allocation Failure) [PSYoungGen: 29638K->3041K(29696K)] 48616K->24148K(62464K), 0.0010535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.207: [GC (Allocation Failure) [PSYoungGen: 29639K->3041K(29696K)] 50746K->26525K(62464K), 0.0013685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.303: [GC (Allocation Failure) [PSYoungGen: 29639K->3041K(29696K)] 53123K->30871K(62464K), 0.0015272 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
10.305: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 27830K->7859K(32768K)] 30871K->7859K(62464K), [Metaspace: 2891K->2891K(1056768K)], 0.0024506 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.412: [GC (Allocation Failure) [PSYoungGen: 26620K->160K(29696K)] 34479K->8019K(62464K), 0.0004538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.506: [GC (Allocation Failure) [PSYoungGen: 26762K->2080K(29696K)] 34621K->9948K(62464K), 0.0004333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
