OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
1.890: [GC (Allocation Failure) [PSYoungGen: 10291K->2080K(14336K)] 38829K->30634K(58368K), 0.0005672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.936: [GC (Allocation Failure) [PSYoungGen: 9235K->1024K(14336K)] 37788K->29594K(58368K), 0.0006606 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.937: [GC (Allocation Failure) [PSYoungGen: 8178K->7139K(14336K)] 36748K->36685K(58368K), 0.0019086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.998: [GC (Allocation Failure) [PSYoungGen: 14293K->7107K(14336K)] 43839K->36653K(58368K), 0.0011252 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.999: [GC (Allocation Failure) [PSYoungGen: 14261K->6050K(14336K)] 43807K->35604K(58368K), 0.0009473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.046: [GC (Allocation Failure) [PSYoungGen: 13205K->4994K(14336K)] 42759K->34564K(58368K), 0.0011484 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.092: [GC (Allocation Failure) [PSYoungGen: 12148K->3937K(14336K)] 41718K->33523K(58368K), 0.0008952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.093: [GC (Allocation Failure) [PSYoungGen: 11092K->2881K(14336K)] 40678K->32483K(58368K), 0.0006946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.139: [GC (Allocation Failure) [PSYoungGen: 10042K->224K(14336K)] 39644K->29842K(58368K), 0.0013925 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.141: [GC (Allocation Failure) [PSYoungGen: 7378K->7139K(14336K)] 36996K->36885K(58368K), 0.0014061 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.187: [GC (Allocation Failure) [PSYoungGen: 14293K->6243K(14336K)] 44039K->35989K(58368K), 0.0010956 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.188: [GC (Allocation Failure) [PSYoungGen: 13397K->5186K(14336K)] 43143K->34940K(58368K), 0.0007911 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.249: [GC (Allocation Failure) [PSYoungGen: 12340K->4129K(14336K)] 42095K->33900K(58368K), 0.0006419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.296: [GC (Allocation Failure) [PSYoungGen: 11284K->3073K(14336K)] 41054K->32859K(58368K), 0.0006682 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.298: [GC (Allocation Failure) [PSYoungGen: 10227K->2016K(14336K)] 40014K->31819K(58368K), 0.0007187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.342: [GC (Allocation Failure) [PSYoungGen: 9171K->960K(14336K)] 38973K->30770K(58368K), 0.0007674 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.344: [GC (Allocation Failure) [PSYoungGen: 8114K->7139K(14336K)] 37924K->37861K(58368K), 0.0012989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
